ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source
2026-09-05T22:31:07,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12020.829,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:31:20,google.com,https://google.com/,22,0.83,74.96,70.927,135.71,0.068,301.053,847,301,cold,0,1,,,real
2026-09-05T22:31:22,cloudflare.com,https://cloudflare.com/,22,0.825,54.33,43.808,125.811,0.098,242.999,1154,301,cold,0,1,,,real
2026-09-05T22:31:23,expired.badssl.com,https://expired.badssl.com/,22,0.919,219.507,,,,462.089,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:31:24,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,1.154,218.95,,,,459.581,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:31:26,github.com,https://github.com/duong-dan-loi-404-test,22,0.929,73.102,78.9,151.471,303.877,629.904,271666,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:31:27,httpbin.org,https://httpbin.org/status/500,22,0.691,278.627,558.514,280.149,0.072,1135.416,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:31:29,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12062.381,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:31:43,google.com,https://google.com/,22,0.863,44.795,64.804,113.95,0.095,247.82,847,301,cold,0,1,,,real
2026-09-05T22:31:44,cloudflare.com,https://cloudflare.com/,22,0.773,40.13,45.777,128.141,1.032,234.073,1154,301,cold,0,1,,,real
2026-09-05T22:31:45,expired.badssl.com,https://expired.badssl.com/,22,1.017,219.505,,,,462.854,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:31:47,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.683,230.368,,,,472.023,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:31:48,github.com,https://github.com/duong-dan-loi-404-test,22,20.892,72.548,77.794,146.785,300.796,637.075,271675,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:31:50,httpbin.org,https://httpbin.org/status/500,22,44.397,269.991,541.404,271.376,0.062,1144.185,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:31:52,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12063.291,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:32:05,google.com,https://google.com/,22,22.362,44.641,66.51,115.414,0.079,275.62,847,301,cold,0,1,,,real
2026-09-05T22:32:06,cloudflare.com,https://cloudflare.com/,22,0.843,45.115,50.117,133.822,0.083,254.739,1155,301,cold,0,1,,,real
2026-09-05T22:32:07,expired.badssl.com,https://expired.badssl.com/,22,0.777,220.859,,,,470.38,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:32:09,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.775,221.171,,,,471.994,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:32:10,github.com,https://github.com/duong-dan-loi-404-test,22,0.98,71.558,76.714,148.07,291.147,611.343,271681,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:32:12,httpbin.org,https://httpbin.org/status/500,22,0.908,264.641,533.018,267.261,0.069,1082.996,246,500,cold,0,0,HTTP,status_500,real
